Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
Q9HST4	moaA	VNG_0085G	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01225}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase complex [GO:0019008]	4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	64091.VNG_0085G;		18533at2157;	UPA00344;		PS01305;PS51918;	SM00729;	PF06463;PF04055;	IPR013785;IPR006638;IPR013485;IPR000385;IPR010505;IPR007197;	moaA VNG_0085G
A0A510N3N8	glmS			carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	cytoplasm [GO:0005737]	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]					cd05008;cd05009;	PS51278;PS51464;		PF01380;	IPR017932;IPR035466;IPR035490;IPR005855;IPR029055;IPR001347;IPR046348;	glmS VNG_0006G
A0A510N3W2	moaA		PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000256|ARBA:ARBA00005046, ECO:0000256|HAMAP-Rule:MF_01225}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase complex [GO:0019008]	4 iron, 4 sulfur cluster binding [GO:0051539]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]				UPA00344;		PS01305;PS51918;	SM00729;	PF06463;PF04055;	IPR013785;IPR006638;IPR013485;IPR000385;IPR010505;IPR007197;	moaA VNG_0085G
A0A510N3X5	gap		PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000256|ARBA:ARBA00004869, ECO:0000256|HAMAP-Rule:MF_00559, ECO:0000256|RuleBase:RU003388}.	glycolytic process [GO:0006096]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytoplasm [GO:0005737]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity [GO:0047100]; NAD binding [GO:0051287]; NADP binding [GO:0050661]				UPA00109;		PS00071;	SM00846;	PF01113;PF02800;	IPR000846;IPR020831;IPR020830;IPR020829;IPR020828;IPR006436;IPR036291;	gap VNG_0095G
A0A510N3Y7	azf		PATHWAY: Carbohydrate degradation; pentose phosphate pathway. {ECO:0000256|HAMAP-Rule:MF_02046}.	glucose metabolic process [GO:0006006]; pentose-phosphate shunt [GO:0006098]		glucose-6-phosphate dehydrogenase activity [GO:0004345]; NAD+ binding [GO:0070403]				UPA00115;				PF01370;	IPR001509;IPR032884;IPR036291;	azf VNG_0128C
A0A510N402	cca			RNA repair [GO:0042245]; tRNA 3'-terminal CCA addition [GO:0001680]		ATP binding [GO:0005524]; ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity [GO:0052929]; CTP:3'-cytidine-tRNA cytidylyltransferase activity [GO:0052928]; CTP:tRNA cytidylyltransferase activity [GO:0052927]; magnesium ion binding [GO:0000287]; tRNA binding [GO:0000049]; tRNA cytidylyltransferase activity [GO:0016437]					cd05400;			PF01909;PF09249;	IPR008229;IPR042090;IPR006116;IPR043519;IPR011068;IPR002934;IPR015329;	cca VNG_0137G
A0A510N437	psmA			proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]	threonine-type endopeptidase activity [GO:0004298]					cd03756;	PS00388;PS51475;	SM00948;	PF00227;PF10584;	IPR029055;IPR023332;IPR019982;IPR000426;IPR001353;	psmA VNG_0166G
A0A510N478	ftsZ2			division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	cell division site [GO:0032153]; cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]					cd02201;	PS01134;PS01135;	SM00864;SM00865;	PF12327;PF00091;	IPR000158;IPR020805;IPR045061;IPR024757;IPR008280;IPR037103;IPR018316;IPR036525;IPR003008;	ftsZ2 ftsZ VNG_0192G
A0A510N4A0	pcrB1		PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000256|HAMAP-Rule:MF_00112}.	glycerophospholipid biosynthetic process [GO:0046474]	cytoplasm [GO:0005737]	magnesium ion binding [GO:0000287]; phosphoglycerol geranylgeranyltransferase activity [GO:0047294]; polyprenyltransferase activity [GO:0002094]				UPA00940;	cd02812;			PF01884;	IPR039074;IPR038597;IPR008205;IPR026417;	pcrB1 VNG_0252C
A0A510N4B9	dcd		PATHWAY: Pyrimidine metabolism; dUMP biosynthesis; dUMP from dCTP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00146}.	dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]		dCTP deaminase (dUMP-forming) activity [GO:0033973]; dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]				UPA00610;	cd07557;			PF06559;	IPR010550;IPR011962;IPR036157;IPR033704;	dcd VNG_0245G
A0A510N4D4	lon			protein catabolic process [GO:0030163]; regulation of transcription, DNA-templated [GO:0006355]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]						PS51786;PS01046;PS50045;	SM00382;	PF13654;PF05362;PF01078;	IPR003593;IPR041699;IPR004663;IPR008269;IPR027065;IPR000523;IPR027417;IPR008268;IPR020568;IPR014721;IPR002078;	lon VNG_0303G
A0A510N4E4	tfbF			transcription preinitiation complex assembly [GO:0070897]		DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]					cd00043;	PS00782;PS51134;	SM00385;	PF08271;PF00382;	IPR013763;IPR036915;IPR000812;IPR023484;IPR023486;IPR013150;IPR013137;	tfbF tfb VNG_0315G
A0A510N4E9	aroD		PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7. {ECO:0000256|HAMAP-Rule:MF_00214}.	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]		3-dehydroquinate dehydratase activity [GO:0003855]				UPA00053;	cd00502;			PF01487;	IPR013785;IPR001381;	aroD VNG_0314G
A0A510N4G0	metS			methionyl-tRNA aminoacylation [GO:0006431]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]					cd07957;cd00814;cd02800;	PS00178;PS50886;		PF19303;PF09334;PF01588;	IPR001412;IPR041872;IPR004495;IPR023458;IPR014758;IPR015413;IPR033911;IPR029038;IPR012340;IPR014729;IPR002547;IPR009080;	metS metG VNG_0326G
A0A510N4H0	gatB			translation [GO:0006412]	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]						PS01234;	SM00845;	PF02934;PF02637;	IPR004413;IPR017959;IPR006075;IPR018027;IPR003789;IPR042114;IPR023168;IPR017958;IPR014746;	gatB aatB VNG_0345G
A0A510N4H5	fba2			aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]		fructose-bisphosphate aldolase activity [GO:0004332]; hydro-lyase activity [GO:0016836]; transketolase or transaldolase activity [GO:0016744]					cd00958;		SM01133;	PF01791;	IPR010210;IPR013785;IPR002915;IPR041720;	fba2 aroA' VNG_0309C
A0A510N4I4	topA			DNA topological change [GO:0006265]	chromosome [GO:0005694]	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]					cd00186;cd03362;	PS00396;PS50880;	SM00437;SM00436;SM00493;	PF01131;PF01751;PF01396;	IPR000380;IPR003601;IPR023406;IPR013497;IPR013824;IPR013825;IPR013826;IPR023405;IPR003602;IPR013498;IPR028612;IPR006171;IPR034144;	topA VNG_0349G
A0A510N4J6	nfi			DNA repair [GO:0006281]	cytoplasm [GO:0005737]	deoxyribonuclease V activity [GO:0043737]; magnesium ion binding [GO:0000287]					cd06559;			PF04493;	IPR007581;	nfi VNG_0363G
A0A510N4J7	aroE		PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000256|ARBA:ARBA00004871, ECO:0000256|HAMAP-Rule:MF_00222}.	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]		NADP binding [GO:0050661]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]				UPA00053;				PF18317;PF01488;PF08501;	IPR046346;IPR036291;IPR041121;IPR011342;IPR013708;IPR022893;IPR006151;	aroE VNG_0382G
A0A510N4L3	gldA2		PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000256|HAMAP-Rule:MF_00497}.	glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	cytoplasm [GO:0005737]	glycerol-1-phosphate dehydrogenase [NAD+] activity [GO:0106357]; glycerol-1-phosphate dehydrogenase [NADP+] activity [GO:0106358]; metal ion binding [GO:0046872]				UPA00940;				PF13685;	IPR023002;IPR032837;IPR016205;	gldA2 egsA VNG_0406C
A0A510N4L8	ftsZ1			division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	cell division site [GO:0032153]; cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]					cd02201;	PS01134;PS01135;	SM00864;SM00865;	PF12327;PF00091;	IPR000158;IPR020805;IPR045061;IPR024757;IPR008280;IPR018316;IPR036525;IPR003008;	ftsZ1 ftsZ VNG_0376G
A0A510N4P1	gdh			non-phosphorylated glucose catabolic process [GO:0019595]		glucose 1-dehydrogenase (NAD+) activity [GO:0047934]; glucose 1-dehydrogenase (NADP+) activity [GO:0047935]; glucose binding [GO:0005536]; NAD+ binding [GO:0070403]; NADP+ binding [GO:0070401]; zinc ion binding [GO:0008270]								PF08240;PF16912;	IPR013154;IPR026583;IPR031640;IPR011032;IPR036291;	gdh VNG_0446G
A0A510N4V1	pan2			proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]	cytoplasm [GO:0005737]; proteasome-activating nucleotidase complex [GO:0022623]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]						PS00674;	SM00382;	PF00004;PF17862;PF16450;	IPR005937;IPR003593;IPR041569;IPR003959;IPR003960;IPR012340;IPR023501;IPR027417;IPR032501;	pan2 pan VNG_0510G
A0A510N4V4	mre11			double-strand break repair [GO:0006302]		3'-5' exonuclease activity [GO:0008408]; DNA end binding [GO:0045027]; endonuclease activity [GO:0004519]; manganese ion binding [GO:0030145]; Y-form DNA binding [GO:0000403]					cd00840;			PF00149;	IPR004843;IPR029052;IPR032885;IPR041796;	mre11 VNG_0512G
A0A510N4V7	dnaJ			DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]					cd06257;cd10719;	PS50076;PS51188;	SM00271;	PF00226;PF01556;PF00684;	IPR012724;IPR002939;IPR001623;IPR008971;IPR001305;IPR036410;IPR036869;	dnaJ VNG_0489G
A0A510N4X5	rpl42e			translation [GO:0006412]	ribosome [GO:0005840]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]								PF00935;	IPR000552;IPR011332;	rpl42e rpl44e VNG_0551G
A0A510N4X7	rad50			double-strand break repair [GO:0006302]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; zinc ion binding [GO:0008270]					cd03240;	PS51131;		PF13476;	IPR045171;IPR027417;IPR038729;IPR022982;IPR013134;	rad50 VNG_0514C
A0A510N545	ribH		PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; riboflavin from 2-hydroxy-3-oxobutyl phosphate and 5-amino-6-(D-ribitylamino)uracil: step 1/2. {ECO:0000256|ARBA:ARBA00004917, ECO:0000256|HAMAP-Rule:MF_00178}.	riboflavin biosynthetic process [GO:0009231]	riboflavin synthase complex [GO:0009349]	6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]				UPA00275;				PF00885;	IPR034964;IPR002180;IPR036467;	ribH ribE risB VNG_0630G
A0A510N556	ubiA2		PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000256|HAMAP-Rule:MF_01286}.	glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	geranylgeranylglycerol-phosphate geranylgeranyltransferase activity [GO:0047295]; magnesium ion binding [GO:0000287]				UPA00940;				PF01040;	IPR023547;IPR000537;IPR044878;	ubiA2 VNG_0610G
A0A510N558	purK		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (N5-CAIR route): step 1/2. {ECO:0000256|HAMAP-Rule:MF_01928, ECO:0000256|RuleBase:RU361200}.	'de novo' IMP biosynthetic process [GO:0006189]		5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]				UPA00074;		PS50975;		PF02826;PF02222;PF17769;	IPR011761;IPR003135;IPR013815;IPR006140;IPR016185;IPR005875;IPR040686;IPR011054;	purK VNG_0632G
A0A510N573	ctaB		PATHWAY: Porphyrin-containing compound metabolism; heme O biosynthesis; heme O from protoheme: step 1/1. {ECO:0000256|ARBA:ARBA00004919, ECO:0000256|HAMAP-Rule:MF_00154}.	heme O biosynthetic process [GO:0048034]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	protoheme IX farnesyltransferase activity [GO:0008495]				UPA00834;	cd13957;			PF01040;	IPR006369;IPR000537;IPR044878;	ctaB VNG_0666G
A0A510N5A7	tfbB			transcription preinitiation complex assembly [GO:0070897]		DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]					cd00043;	PS00782;PS51134;	SM00385;	PF08271;PF00382;	IPR013763;IPR036915;IPR000812;IPR023484;IPR023486;IPR013150;IPR013137;	tfbB tfb VNG_0734G
A0A510N5C1	thiC		PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00089}.	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]		4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]				UPA00060;				PF01964;	IPR037509;IPR038521;IPR002817;	thiC VNG_0715G
A0A510N5H6	rtcA			RNA processing [GO:0006396]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; RNA-3'-phosphate cyclase activity [GO:0003963]								PF01137;PF05189;	IPR013791;IPR023797;IPR037136;IPR000228;IPR017770;IPR013792;IPR036553;	rtcA tpc VNG_0732G
A0A510N5J0	ribL		PATHWAY: Cofactor biosynthesis; FAD biosynthesis; FAD from FMN: step 1/1. {ECO:0000256|HAMAP-Rule:MF_02115}.	FAD biosynthetic process [GO:0006747]; FMN metabolic process [GO:0046444]		ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]				UPA00277;				PF01467;	IPR004821;IPR024902;IPR014729;	ribL VNG_0777G
A0A510N5J9	trm56			tRNA nucleoside ribose methylation [GO:0002128]	cytoplasm [GO:0005737]	tRNA methyltransferase activity [GO:0008175]								PF01994;	IPR029028;IPR029026;IPR002845;	trm56 VNG_0755C
A0A510N5L9	ipp			phosphate-containing compound metabolic process [GO:0006796]	cytoplasm [GO:0005737]	inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]					cd00412;			PF00719;	IPR008162;IPR036649;	ipp ppa VNG_0259G
A0A510N5M0	psmB			proteasomal protein catabolic process [GO:0010498]	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]	threonine-type endopeptidase activity [GO:0004298]						PS51476;		PF00227;	IPR029055;IPR019983;IPR000243;IPR001353;IPR023333;	psmB VNG_0880G
A0A510N5M3	tfbD			transcription preinitiation complex assembly [GO:0070897]		DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]					cd00043;	PS00782;PS51134;	SM00385;	PF08271;PF00382;	IPR013763;IPR036915;IPR000812;IPR023484;IPR023486;IPR013150;IPR013137;	tfbD tfb VNG_0869G
A0A510N5M4	gatC			regulation of translational fidelity [GO:0006450]; translation [GO:0006412]		asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]								PF02686;	IPR003837;IPR036113;	gatC aatC VNG_0870G
A0A510N5N5	ligB			cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]						PS00697;PS50160;		PF04679;PF01068;PF04675;	IPR022865;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR036599;IPR012340;	ligB lig VNG_0881G
A0A510N5Q0	hisF		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 5/9. {ECO:0000256|ARBA:ARBA00005091, ECO:0000256|HAMAP-Rule:MF_01013}.	histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]				UPA00031;	cd04731;			PF00977;	IPR013785;IPR006062;IPR004651;IPR011060;	hisF VNG_0862G
A0A510N5Q4	kynU		PATHWAY: Amino-acid degradation; L-kynurenine degradation; L-alanine and anthranilate from L-kynurenine: step 1/1. {ECO:0000256|PIRNR:PIRNR038800}.; PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; quinolinate from L-kynurenine: step 2/3. {ECO:0000256|PIRNR:PIRNR038800}.	L-kynurenine catabolic process [GO:0097053]; NAD biosynthetic process [GO:0009435]; tryptophan catabolic process [GO:0006569]	cytoplasm [GO:0005737]	3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]				UPA00253;UPA00334;				PF00266;	IPR000192;IPR010111;IPR015424;IPR015421;IPR015422;	kynU hakA VNG_0915G
A0A510N5Q6	gatA			translation [GO:0006412]	cytoplasm [GO:0005737]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; intracellular membrane-bounded organelle [GO:0043231]	ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]						PS00571;		PF01425;	IPR000120;IPR020556;IPR023631;IPR036928;IPR004412;	gatA aatA VNG_0872G
A0A510N5S0	top6A			DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]	chromosome [GO:0005694]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; magnesium ion binding [GO:0000287]					cd00223;			PF04406;	IPR002815;IPR013049;IPR036078;IPR004085;IPR034136;IPR036388;	top6A VNG_0884G
A0A510N5T5	purL		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2. {ECO:0000256|HAMAP-Rule:MF_00420}.	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]				UPA00074;				PF00586;PF02769;PF18072;	IPR010074;IPR041609;IPR010918;IPR036676;IPR016188;IPR036921;	purL VNG_0864G
A0A510N5X5	guaB1		PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01964, ECO:0000256|RuleBase:RU003928}.	GMP biosynthetic process [GO:0006177]		IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]				UPA00601;	cd00381;	PS51371;PS00487;	SM00116;	PF00571;PF00478;	IPR013785;IPR000644;IPR046342;IPR005990;IPR015875;IPR001093;	guaB1 guaB VNG_1001G
A0A510N5Z1	cheB			chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]	cytoplasm [GO:0005737]	phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]					cd16432;	PS50122;PS50110;	SM00448;	PF01339;PF00072;	IPR008248;IPR035909;IPR011006;IPR000673;IPR001789;	cheB VNG_0973G
